parent_category	category	fallback_name	master_count	variant_count	tgv_leaf
Congresses, purses and card holders	Pencil holder and office		18	19	office-and-writing/office-accessories/desk-accessories
Diaries, notebooks and notebooks	Diaries		21	71	office-and-writing/notebooks-and-planners/diaries-and-almanacs
Diaries, notebooks and notebooks	Dietary		3	12	office-and-writing/notebooks-and-planners/notebooks
Diaries, notebooks and notebooks	Notebooks		36	126	office-and-writing/notebooks-and-planners/notebooks
Diaries, notebooks and notebooks	Recambios		2	2	office-and-writing/notebooks-and-planners/notebooks
Display Rapid	Graphics holders and flags		22	22	lanyards-and-events/event-accessories/flags-and-banners
Display Rapid	Led frames, Roll Up and Banner		23	26	lanyards-and-events/event-accessories/flags-and-banners
Display Rapid	Pop Up, counters and exhibitors		30	30	lanyards-and-events/event-accessories/flags-and-banners
Display Rapid	Snapframe		6	6	lanyards-and-events/event-accessories/flags-and-banners
Display Rapid	Suspended tarps and wall frames		6	6	office-and-writing/writing-instruments/ball-pens
Display Rapid	Tents and events		8	22	outdoor-and-leisure/outdoor-gear/camping-gear
Electronics	Batteries		5	5	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	calculators		2	5	office-and-writing/office-accessories/calculators
Electronics	Charging adapters		2	2	electronics/power-and-charging/charging-cables-and-adapters
Electronics	Computer mouse		1	2	electronics/computer-and-mobile-accessories/computer-mice-and-mousepads
Electronics	Count threads and magnifying glasses		1	1	office-and-writing/office-accessories/desk-accessories
Electronics	Earphones		13	24	electronics/audio-devices/earphones-and-headphones
Electronics	Energy timer		2	2	electronics/power-and-charging/charging-cables-and-adapters
Electronics	Foldable photos		1	1	home-and-living/home-decor/photo-frames
Electronics	Led sticks		2	2	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	Phone glasses		1	1	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	Phone holders		9	27	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	Power Banks		1	1	electronics/power-and-charging/power-banks
Electronics	Rings of light		1	1	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	Tripod		4	8	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	USB stock		15	15	electronics/usb-flash-drives
Electronics	Webcam protector		2	8	electronics/computer-and-mobile-accessories/webcam-covers
Electronics	Wifi amplifier		1	1	electronics/computer-and-mobile-accessories/phone-holders-and-stands
Electronics	Wire and Chargers		18	29	electronics/power-and-charging/charging-cables-and-adapters
Electronics	Wireless speakers		12	18	electronics/power-and-charging/charging-cables-and-adapters
Events, parties and summer	Animation articles		1	2	home-and-living/seasonal-and-event-items/summer-and-beach-items
Events, parties and summer	Bibs		1	4	home-and-living/kitchen-and-dining/aprons-and-gloves
Events, parties and summer	Fans / Paypay		4	4	lanyards-and-events/event-accessories/fans
Events, parties and summer	Glasses		3	5	outdoor-and-leisure/travel-and-beach/sunglasses
Events, parties and summer	Identification and event bracelets		2	5	lanyards-and-events/wristbands
Events, parties and summer	Towels / Pareos		7	7	home-and-living/textiles/towels
Events, parties and summer	WATERPROOF BAGS		2	4	bags/specialty-bags/waterproof-bags
Health, grooming and pharmacy	Anti-stress and magnets		20	40	lanyards-and-events/pins-and-buttons
Health, grooming and pharmacy	COVID-19		23	33	home-and-living/personal-care-and-wellness/first-aid-kits
Health, grooming and pharmacy	Health		2	3	home-and-living/personal-care-and-wellness/first-aid-kits
Health, grooming and pharmacy	Hotel y Spa		15	32	accommodation-and-travel/toiletry-bags
Health, grooming and pharmacy	Pharmacy		25	39	home-and-living/personal-care-and-wellness/first-aid-kits
Health, grooming and pharmacy	Pillbox		4	16	home-and-living/personal-care-and-wellness/first-aid-kits
Health, grooming and pharmacy	Sport		5	6	outdoor-and-leisure/sports-and-fitness/fitness-and-yoga-accessories
Health, grooming and pharmacy	Sports bags and fanny packs		14	48	bags/specialty-bags/gym-and-sports-bags
Health, grooming and pharmacy	Writing		1	1	office-and-writing/writing-instruments/ball-pens
Home	Air Fryers		2	2	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Home	Aprons		21	58	home-and-living/kitchen-and-dining/aprons-and-gloves
Home	Candles and photo frames		23	33	home-and-living/home-decor/candles-and-fragrances
Home	Cups, jugs and glasses		51	111	drinkware/mugs-and-cups/glass-mugs
Home	Ham covers		2	8	home-and-living/kitchen-and-dining/aprons-and-gloves
Home	humidifiers		1	1	home-and-living/home-decor/clocks-and-weather-stations
Home	kitchen accessories		25	33	home-and-living/kitchen-and-dining/kitchen-tools-and-utensils
Home	LIQUOR FLASK		4	4	drinkware/bottles/hip-flasks
Home	Packaging ECO		4	4	bags/gift-bags
Home	Picnic supplies		3	5	outdoor-and-leisure/outdoor-gear/barbecue-and-picnic-items
Home	SUIT BAG		3	6	accommodation-and-travel/travel-bags-and-luggage
Key-rings	ABS keychains and others		33	48	tools-and-keyrings/keyrings/basic-keyrings
Key-rings	Aluminium		11	52	tools-and-keyrings/keyrings/basic-keyrings
Key-rings	Ashtrays		8	21	tools-and-keyrings/tools/lighters
Key-rings	KEY RINGS ECO		30	39	tools-and-keyrings/keyrings/basic-keyrings
Key-rings	Keychains "Style"		9	13	tools-and-keyrings/keyrings/basic-keyrings
Key-rings	Metal		54	88	tools-and-keyrings/keyrings/basic-keyrings
Kids and board games	BagsBackpacks		13	14	bags/backpacks/standard-backpacks
Kids and board games	Caps		1	5	apparel-and-wearables/headwear/caps-and-hats
Kids and board games	Footballs		5	5	outdoor-and-leisure/sports-and-fitness/football-items
Kids and board games	Fun and board games		51	69	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Kids and board games	Items for drawing and painting		70	89	office-and-writing/writing-instruments/pencils
Kids and board games	Teddies		9	9	kids-and-games/toys-and-plush/stuffed-animals
Kids and board games	Textile		1	2	apparel-and-wearables/sportswear-and-activewear
Labor, tools and vehicle accessories	Bicycle accessories		3	4	outdoor-and-leisure/sports-and-fitness/cycling-accessories
Labor, tools and vehicle accessories	Car sunshade		10	20	tools-and-keyrings/car-accessories/car-sunshades
Labor, tools and vehicle accessories	Flashlights		5	9	tools-and-keyrings/tools/flashlights-and-torches
Labor, tools and vehicle accessories	Pocketknives		23	29	tools-and-keyrings/tools/pocket-knives
Labor, tools and vehicle accessories	Set		26	39	tools-and-keyrings/tools/multi-tools
Labor, tools and vehicle accessories	Shirts		1	2	tools-and-keyrings/tools/multi-tools
Labor, tools and vehicle accessories	Vehicle accessories		8	16	tools-and-keyrings/tools/multi-tools
Labor, tools and vehicle accessories	Vests, Triangles and emergencies		79	185	apparel-and-wearables/workwear-and-safety
Lighters and smokers' items	Ashtrays and accessories		2	5	tools-and-keyrings/tools/lighters
Magnetized and graphic products	Magnets		7	7	lanyards-and-events/pins-and-buttons
Outlet	Health & Hygiene		1	1	home-and-living/personal-care-and-wellness/first-aid-kits
Pet accessories	Bag holder		2	8	bags/shopping-bags/non-woven-bags
Pet accessories	Brushes		1	1	home-and-living/personal-care-and-wellness/first-aid-kits
Pet accessories	Frisbee		1	1	kids-and-games/toys-and-plush/outdoor-and-indoor-games
Pet accessories	Necklaces		1	5	seasonal-gifts
Religious conmemorations	Altarpiece		5	5	lanyards-and-events/event-accessories/flags-and-banners
Religious conmemorations	Key-ring		5	5	tools-and-keyrings/keyrings/basic-keyrings
Religious conmemorations	Pens		2	4	office-and-writing/writing-instruments/ball-pens
Religious conmemorations	Rosary		7	8	seasonal-gifts
Textile, casual and sport	Cotton polo shirts		4	15	apparel-and-wearables/polo-shirts
Textile, casual and sport	Cotton t-shirts		35	122	apparel-and-wearables/t-shirts
Textile, casual and sport	Flag technical poles		19	77	lanyards-and-events/event-accessories/flags-and-banners
Textile, casual and sport	Gym pants and t-shirts		9	58	apparel-and-wearables/t-shirts
Textile, casual and sport	SWEATHER		16	85	apparel-and-wearables/sweaters-and-fleece
Textile, casual and sport	Technical flag shirts		16	78	apparel-and-wearables/t-shirts
Textile, casual and sport	Technical poles		1	30	lanyards-and-events/event-accessories/flags-and-banners
Textile, casual and sport	Technical shirts		45	218	apparel-and-wearables/t-shirts
Toiletry bags	Cabin toiletry bags		7	22	accommodation-and-travel/toiletry-bags
Toiletry bags	Toiletry bags "Desing"		7	19	accommodation-and-travel/toiletry-bags
Toiletry bags	Toiletry bags ECO		23	39	accommodation-and-travel/toiletry-bags
Trophies & tributes	Chrome trays		2	2	office-and-writing/office-accessories/trophies-and-paperweights
Trophies & tributes	Crystals and paperweights		9	9	office-and-writing/office-accessories/trophies-and-paperweights
Trophies & tributes	Glass		53	54	office-and-writing/office-accessories/trophies-and-paperweights
Trophies & tributes	MEDAL		2	4	office-and-writing/office-accessories/trophies-and-paperweights
Trophies & tributes	Sublimation Metopes		3	3	office-and-writing/office-accessories/trophies-and-paperweights
Watches and weather stations	Lamps		5	9	home-and-living/home-decor/clocks-and-weather-stations
Watches and weather stations	scale clock		2	2	home-and-living/home-decor/clocks-and-weather-stations
Watches and weather stations	table clock		4	4	home-and-living/home-decor/clocks-and-weather-stations
Watches and weather stations	Wall Clock		4	5	home-and-living/home-decor/clocks-and-weather-stations
Watches and weather stations	watch case		1	1	accommodation-and-travel/travel-accessories
Watches and weather stations	weather stations		1	1	home-and-living/home-decor/clocks-and-weather-stations
Wines & Cocktails	Cases, bottle racks and presentation bags		22	45	bags/shopping-bags/non-woven-bags
Wines & Cocktails	Cocktail		13	17	drinkware/bar-and-wine-accessories/cocktail-sets
Wines & Cocktails	Corkscrews and openers		21	35	drinkware/bar-and-wine-accessories/bottle-openers-and-stoppers
Wines & Cocktails	Vacuum stoppers		3	3	drinkware/bar-and-wine-accessories/bottle-openers-and-stoppers
Wines & Cocktails	Wine accessories sets		22	22	drinkware/bar-and-wine-accessories/wine-sets
Winter and rainy days	Blankets		6	15	home-and-living/textiles/blankets
Winter and rainy days	Hats, gloves and scarves		14	58	apparel-and-wearables/headwear/caps-and-hats
Winter and rainy days	Polar panties		5	30	apparel-and-wearables/sweaters-and-fleece
Winter and rainy days	Rain		14	65	umbrellas-and-rainwear/rainwear/raincoats
Winter and rainy days	textile		11	47	apparel-and-wearables/sportswear-and-activewear
Writing	Cases and displays		20	26	office-and-writing/writing-instruments/ball-pens
Writing	Covers for cards and documents		6	7	office-and-writing/office-accessories/business-card-holders
Writing	Handmade Pens		4	12	office-and-writing/writing-instruments/ball-pens
Writing	Metal Ball Pens		5	26	office-and-writing/writing-instruments/ball-pens
Writing	Metal Mixed Ballpen		7	21	office-and-writing/writing-instruments/ball-pens
Writing	Pencils and markers		20	42	office-and-writing/writing-instruments/pencils
Writing	Pens "Economic line"		12	55	office-and-writing/writing-instruments/ball-pens
Writing	Pens ECO		31	75	office-and-writing/writing-instruments/ball-pens
Writing	Pens Pierre Cardin		45	86	office-and-writing/writing-instruments/ball-pens
Writing	Pens Pierre Delone		12	23	office-and-writing/writing-instruments/ball-pens
Writing	Pens Special		37	82	office-and-writing/writing-instruments/ball-pens
Writing	Rollers		10	30	office-and-writing/writing-instruments/ball-pens
Writing	SmartPhone Ball Pens		11	47	office-and-writing/writing-instruments/stylus-pens
